,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate
0,6369,Rental unit in Madrid · ★4.87 · 1 bedroom · 1 bed · 1 private bath,13660,Simon,Chamartín,Hispanoamérica,40.45724,-3.67688,Private room,90,4,104,2023-05-31,0.65,1,98,9,0.7315068493150685
2,451174,casa particular in Madrid · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,2240898,Alejandro,Chamberí,Almagro,40.434551,-3.698387,Private room,47,3,33,2023-06-05,0.53,1,72,21,0.8027397260273973
3,24805,Rental unit in Madrid · ★4.90 · 6 bedrooms · 1 bed · 1 bath,346366726,Alvaro,Centro,Universidad,40.42183,-3.70529,Entire home/apt,92,5,29,2023-05-23,0.28,1,161,11,0.5589041095890411
4,456165,Guest suite in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,617086,Agata,Carabanchel,Comillas,40.39032,-3.71382,Private room,30,2,10,2023-05-21,0.14,1,4,3,0.989041095890411
5,26825,Home in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 private bath,114340,Maria,Arganzuela,Legazpi,40.38975,-3.69018,Private room,29,3,194,2023-05-16,1.22,1,285,30,0.2191780821917808
6,459303,Rental unit in Madrid · ★4.56 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Universidad,40.42548,-3.7042,Entire home/apt,98,3,77,2023-06-03,0.73,67,241,31,0.33972602739726027
7,459362,Rental unit in Madrid · ★4.54 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Sol,40.41592,-3.70177,Entire home/apt,104,3,91,2023-05-10,0.85,67,272,22,0.2547945205479452
8,29044,Rental unit in Madrid · 2 bedrooms · 2 beds · 2 baths,124972,Luisa,Moncloa - Aravaca,Argüelles,40.42689,-3.71552,Entire home/apt,91,10,2,2022-07-17,0.02,7,23,1,0.936986301369863
10,30320,Rental unit in Madrid · ★4.63 · 1 bedroom · 2 beds · 1 bath,130907,Dana,Centro,Sol,40.41476,-3.70418,Entire home/apt,65,5,172,2022-09-26,1.09,3,102,1,0.7205479452054795
11,462072,Rental unit in Madrid · ★4.93 · 2 bedrooms · 4 beds · 1 bath,2296476,Jose Manuel,Centro,Palacio,40.40869,-3.71073,Entire home/apt,160,3,150,2023-05-10,1.12,1,90,38,0.7534246575342466
13,468202,Rental unit in Madrid · ★4.60 · 1 bedroom · 1 bed · 1.5 baths,2322563,Julio And Sarah,Centro,Universidad,40.42123,-3.70133,Entire home/apt,50,30,289,2023-05-24,2.15,1,227,11,0.3780821917808219
14,469231,Rental unit in Madrid · ★4.57 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Palacio,40.41941,-3.70823,Entire home/apt,94,3,61,2023-06-06,0.57,67,293,7,0.19726027397260273
15,40718,Rental unit in Madrid · ★4.61 · 1 bedroom · 2 beds · 1 bath,34217435,Luis,Centro,Justicia,40.41969,-3.69736,Entire home/apt,99,2,134,2023-04-24,0.86,13,290,10,0.2054794520547945
16,470132,Rental unit in Madrid · ★4.75 · 1 bedroom · 2 beds · 1 bath,2332600,Rodrigo,Centro,Embajadores,40.41018,-3.70164,Entire home/apt,76,4,44,2023-04-30,0.33,1,147,4,0.5972602739726027
17,471198,Rental unit in Madrid · ★4.16 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Universidad,40.42359,-3.70537,Entire home/apt,109,3,50,2022-09-25,0.48,67,301,2,0.17534246575342466
19,471328,Rental unit in Madrid · ★4.55 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Sol,40.41628,-3.70364,Entire home/apt,94,3,168,2023-06-07,1.29,67,278,14,0.23835616438356164
20,47957,Condo in Madrid · ★4.83 · 2 bedrooms · 2 beds · 2 baths,218515,Sergio,Salamanca,Goya,40.42792,-3.67682,Entire home/apt,138,10,61,2023-05-12,0.4,2,197,4,0.4602739726027397
22,62423,Rental unit in Madrid · ★4.60 · 1 bedroom · 2 beds · 1.5 shared baths,303845,Arturo,Centro,Justicia,40.41884,-3.69655,Private room,58,1,161,2023-05-23,2.6,2,330,30,0.0958904109589041
23,482122,Rental unit in Madrid · ★4.48 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Chamberí,Trafalgar,40.43271,-3.70156,Entire home/apt,98,3,21,2023-04-29,0.2,67,314,6,0.13972602739726028
24,70073,Rental unit in Madrid · ★4.28 · 1 bedroom · 1 bed · 1 bath,353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,80,28,30,2023-05-05,0.21,4,279,4,0.2356164383561644
25,70310,Rental unit in Madrid · ★4.33 · 1 bedroom · 2 beds · 1 bath,353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,68,28,28,2023-05-20,0.19,4,318,3,0.12876712328767123
26,491070,Rental unit in Madrid · ★4.65 · 1 bedroom · 1 bed · 1 bath,2427722,Ignacio,Centro,Universidad,40.42885,-3.70479,Entire home/apt,105,60,19,2022-12-26,0.14,1,335,5,0.0821917808219178
28,493238,Rental unit in Madrid · ★4.63 · 1 bedroom · 2 beds · 1 bath,2436735,Gemma,Centro,Embajadores,40.40655,-3.70629,Entire home/apt,95,2,206,2023-05-29,1.54,1,234,1,0.3589041095890411
32,499911,Rental unit in Madrid · ★4.91 · 2 bedrooms · 4 beds · 1 bath,2467212,Joël,Centro,Embajadores,40.41234,-3.70186,Entire home/apt,127,4,227,2023-06-05,1.79,1,201,46,0.44931506849315067
33,86042,Rental unit in Madrid · ★4.82 · 3 bedrooms · 3 beds · 1 bath,364585,Vin,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,169,4,189,2023-05-13,1.3,4,172,28,0.5287671232876713
34,502918,Rental unit in Madrid · ★4.84 · 2 bedrooms · 1 bed · 1 shared bath,2480913,Elvira,Centro,Cortes,40.41155,-3.69492,Private room,60,3,140,2023-05-29,1.62,1,262,31,0.2821917808219178
35,506956,Rental unit in Madrid · ★4.91 · 2 bedrooms · 3 beds · 1 bath,1932547,Nieves,Ciudad Lineal,Concepción,40.44117,-3.64841,Entire home/apt,91,1,553,2023-06-03,6.19,1,65,93,0.821917808219178
36,89954,Loft in Madrid · ★4.81 · 2 bedrooms · 3 beds · 1 bath,487095,Beatriz,Centro,Palacio,40.41358,-3.71353,Entire home/apt,160,3,236,2023-05-14,1.62,1,344,27,0.057534246575342465
37,507614,Rental unit in Madrid · ★4.92 · 2 bedrooms · 2 beds · 1.5 baths,2501740,Moises&Cristina + Little Sophie&Eli,Centro,Universidad,40.42323,-3.70434,Entire home/apt,90,60,27,2023-01-14,0.2,4,221,4,0.39452054794520547
38,93100,Rental unit in Madrid · ★4.51 · 1 bedroom · 2 beds · 2 baths,499977,Charo,Centro,Universidad,40.42378,-3.70248,Private room,31,1,785,2023-06-02,5.33,3,234,87,0.3589041095890411
39,510973,Rental unit in Madrid · ★5.0 · 1 bedroom · 3 beds · 2 shared baths,2517520,Ruben,Centro,Cortes,40.41412,-3.70057,Shared room,84,2,18,2023-05-03,0.24,1,365,9,0.0
42,515008,Rental unit in Madrid · ★4.76 · 1 bedroom · 1 bed · 2 shared baths,2536524,Marina Y Danna,San Blas - Canillejas,Arcos,40.426699,-3.616304,Private room,45,5,31,2023-02-11,0.24,6,222,4,0.3917808219178082
44,518208,Rental unit in Madrid · ★4.57 · 1 bedroom · 1 bed · 2 shared baths,2536524,Marina Y Danna,San Blas - Canillejas,Arcos,40.42654,-3.615916,Private room,45,5,23,2023-03-06,0.18,6,329,4,0.09863013698630137
45,103541,Rental unit in Madrid · ★4.58 · 2 bedrooms · 3 beds · 2 baths,361930,Maria,Chamberí,Almagro,40.43815,-3.69764,Entire home/apt,120,2,257,2023-06-04,1.77,4,285,35,0.2191780821917808
47,114854,Rental unit in Madrid · ★4.58 · 1 bedroom · 2 beds · 1 bath,361930,Maria,Chamberí,Rios Rosas,40.4382,-3.69389,Entire home/apt,85,2,146,2023-06-09,1.03,4,209,23,0.4273972602739726
48,120293,Rental unit in Madrid · ★4.77 · 1 bedroom · 2 beds · 1 shared bath,605612,Ulises,Centro,Palacio,40.41143,-3.70912,Private room,32,1,295,2023-06-08,2.05,5,338,53,0.07397260273972603
49,522563,Rental unit in Madrid · ★4.68 · 2 bedrooms · 2 beds · 1.5 baths,1652272,Xuan,Centro,Palacio,40.41152,-3.70991,Entire home/apt,164,4,103,2023-04-20,0.97,1,89,6,0.7561643835616438
50,524003,Rental unit in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 private bath,2576044,Angel,Centro,Embajadores,40.41327,-3.70223,Private room,80,2,498,2023-06-06,3.83,1,213,69,0.41643835616438357
51,123864,Rental unit in Madrid · ★4.66 · Studio · 2 beds · 1 bath,605612,Ulises,Centro,Embajadores,40.41001,-3.70704,Entire home/apt,51,1,653,2023-06-04,4.49,5,140,68,0.6164383561643836
52,132428,Rental unit in Madrid · ★4.78 · 1 bedroom · 1 bed · 1 bath,650803,Jose Luis,Centro,Embajadores,40.41012,-3.69709,Private room,35,3,157,2023-05-16,2.14,1,345,36,0.0547945205479452
54,136058,Rental unit in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,666482,Cinthia,Villaverde,Los Angeles,40.35761,-3.69723,Private room,24,1,97,2022-10-30,0.67,1,0,9,1.0
55,526513,Rental unit in Madrid · ★4.72 · 2 bedrooms · 4 beds · 1 bath,1134989,Óscar,Centro,Sol,40.41604,-3.70834,Entire home/apt,94,2,704,2023-05-26,5.26,1,74,92,0.7972602739726027
57,531677,Rental unit in Madrid · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,2613319,David,Centro,Universidad,40.42286,-3.70236,Private room,39,3,589,2023-05-28,4.52,1,3,31,0.9917808219178083
58,167183,Chalet in Madrid · ★4.90 · 1 bedroom · 1 bed · 1 private bath,796746,Consuelo,Hortaleza,Piovera,40.45575,-3.64912,Private room,65,1,43,2023-04-09,0.32,2,288,8,0.21095890410958903
60,177523,Rental unit in Madrid · ★4.58 · Studio · 1 bed · 1 bath,596469,Gabriel Avalos,Centro,Universidad,40.42855453491211,-3.7027840614318848,Entire home/apt,120,1,32,2023-04-19,0.23,23,365,10,0.0
61,196197,Rental unit in Madrid · ★4.71 · 1 bedroom · 1 bed · 1 bath,852616,Meyling,Centro,Palacio,40.41235,-3.70967,Entire home/apt,81,3,379,2023-05-20,2.65,2,233,53,0.36164383561643837
63,540937,Rental unit in Madrid · ★4.46 · 1 bedroom · 1 bed · 1 bath,2659070,Ana,Centro,Embajadores,40.40954,-3.70096,Entire home/apt,61,2,305,2023-05-26,2.29,2,101,31,0.7232876712328767
64,199201,Rental unit in Madrid · ★4.89 · 1 bedroom · 1 bed · 1 private bath,749212,Henrietta,Centro,Embajadores,40.41319,-3.7024,Private room,88,3,185,2023-06-06,1.29,1,8,36,0.9780821917808219
65,548995,Rental unit in Madrid · ★4.94 · 2 bedrooms · 3 beds · 1 bath,2673517,Sylvia,Retiro,Ibiza,40.419,-3.67774,Entire home/apt,106,6,167,2023-05-29,1.29,1,170,11,0.5342465753424658
67,552183,Rental unit in Madrid · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,2713304,Belén,Centro,Cortes,40.41309,-3.69775,Private room,50,3,342,2023-05-23,2.57,1,325,43,0.1095890410958904
69,558690,Rental unit in Madrid · ★4.62 · 3 bedrooms · 4 beds · 2 baths,2747005,Maribel,Salamanca,Goya,40.42274,-3.66972,Entire home/apt,120,14,82,2023-05-02,0.7,1,180,7,0.5068493150684932
70,205199,Condo in Madrid · ★4.93 · Studio · 1 bed · 1 bath,1008659,Nuria,Centro,Universidad,40.42116,-3.70384,Entire home/apt,90,30,316,2023-05-23,2.21,4,333,21,0.08767123287671233
71,560941,Rental unit in Madrid · ★4.56 · 1 bedroom · 1 bed · 1 bath,596469,Gabriel Avalos,Salamanca,Recoletos,40.42297,-3.69095,Entire home/apt,131,1,34,2023-03-12,0.29,23,365,6,0.0
72,209373,Rental unit in Madrid · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,1031664,José,Centro,Embajadores,40.41126,-3.70347,Private room,32,1,68,2023-06-09,0.49,1,187,30,0.4876712328767123
73,565152,Rental unit in Madrid · ★4.33 · 2 bedrooms · 2 beds · 1 bath,2779192,Wanda,Centro,Embajadores,40.40683,-3.69932,Entire home/apt,58,4,216,2023-06-03,1.99,1,80,28,0.7808219178082192
75,211444,Rental unit in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,1090760,Jon,Hortaleza,Canillas,40.45959,-3.64699,Private room,65,2,171,2023-05-30,1.21,1,292,25,0.2
77,217674,Rental unit in Madrid · ★4.84 · 2 bedrooms · 6 beds · 1 bath,1732442,Anouk,Centro,Sol,40.41538,-3.70741,Entire home/apt,251,3,286,2023-05-24,2.03,5,295,39,0.1917808219178082
78,570158,Rental unit in Madrid · ★4.55 · 2 bedrooms · 1 shared bath,2347489,Jeanet,Tetuán,Cuatro Caminos,40.447,-3.70291,Private room,23,6,42,2023-05-18,0.32,1,238,4,0.34794520547945207
79,219303,Rental unit in Madrid · ★4.52 · 3 bedrooms · 2 beds · 2 shared baths,499977,Charo,Centro,Universidad,40.42377,-3.70241,Private room,28,1,269,2023-06-07,1.9,3,293,49,0.19726027397260273
82,229664,Rental unit in Madrid · ★4.28 · 1 bedroom · 2 beds · Half-bath,1130651,Sergio,Centro,Embajadores,40.4078,-3.70085,Entire home/apt,69,10,525,2023-05-13,3.7,3,266,16,0.27123287671232876
83,576487,Home in Madrid · ★4.73 · 2 bedrooms · 6 beds · 1 bath,2312712,Pilar,Barajas,Casco Histórico de Barajas,40.4739,-3.57583,Entire home/apt,93,1,572,2023-05-29,4.4,1,136,104,0.6273972602739726
84,578731,Rental unit in Madrid · ★4.72 · 2 bedrooms · 3 beds · 1 bath,2847013,Santiago,Centro,Universidad,40.42551,-3.70812,Entire home/apt,138,2,400,2023-06-04,3.02,3,315,59,0.136986301369863
87,588518,Loft in Madrid · ★4.94 · 1 bedroom · 1 bed · 1 bath,2267893,Ana,Centro,Palacio,40.4158,-3.70962,Entire home/apt,214,3,66,2023-04-10,0.62,1,16,3,0.9561643835616438
88,590710,Condo in Madrid · ★4.85 · 1 bedroom · 1 bed · 1 private bath,2913511,Amparo,Usera,San Fermín,40.36725,-3.68875,Private room,46,4,75,2023-05-08,0.57,1,279,13,0.2356164383561644
89,256004,Rental unit in Madrid · ★4.60 · 3 bedrooms · 8 beds · 1 bath,1732442,Anouk,Centro,Sol,40.41428,-3.70767,Entire home/apt,124,3,167,2023-05-23,1.22,5,329,20,0.09863013698630137
90,594298,Rental unit in Madrid · ★4.66 · 2 bedrooms · 2 beds · 1.5 baths,153391,Fernando,Centro,Sol,40.41906,-3.70627,Entire home/apt,164,1,446,2023-05-31,3.43,5,264,39,0.27671232876712326
91,258713,Condo in Madrid · ★4.86 · 1 bedroom · 1 bed · 1 bath,1359945,Azucena,Arganzuela,Chopera,40.39627,-3.69926,Entire home/apt,94,4,22,2023-06-09,0.18,1,161,14,0.5589041095890411
92,598771,Rental unit in Madrid · ★4.84 · 1 bedroom · 1 bed · 1 bath,2678039,Miguel,Arganzuela,Palos de Moguer,40.40661,-3.6952,Entire home/apt,85,3,86,2022-10-18,0.71,1,160,3,0.5616438356164384
93,260656,Rental unit in Madrid · ★4.41 · 1 bedroom · 1 bed · 1 bath,1367452,Javier,Centro,Embajadores,40.40743,-3.70114,Entire home/apt,91,14,38,2022-08-29,0.28,1,314,1,0.13972602739726028
96,261878,Loft in Madrid · ★4.91 · 1 bedroom · 1 bed · 1 bath,1373873,Al,Centro,Universidad,40.42377853393555,-3.702780961990357,Entire home/apt,134,1,582,2023-05-28,4.13,1,154,55,0.5780821917808219
98,263748,Loft in Madrid · ★4.76 · 2 bedrooms · 3 beds · 1 bath,1351865,Angela Y Jaime,Hortaleza,Valdefuentes,40.47142,-3.62881,Entire home/apt,120,2,124,2023-04-09,0.94,2,163,6,0.5534246575342465
