id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
6369,40.45724,-3.67688,90,4,104,0.65,98,1.0,2,,,1.0,8,0.7333333333333333,5,31,12,60,Chamartín,93.0,14.0,51.54815161489519
451174,40.434551,-3.698387,47,3,33,0.53,72,1.0,1,,,1.0,12,0.6,6,5,4,10,Chamberí,88.0,13.0,42.00391934055624
24805,40.42183,-3.70529,92,5,29,0.28,161,1.0,3,6.0,0.0,1.0,12,0.6,5,23,1,1,Centro,106.0,15.0,113.92613008090308
456165,40.39032,-3.71382,30,2,10,0.14,4,1.0,1,,,1.0,4,0.8666666666666667,5,21,18,48,Carabanchel,55.0,7.0,30.466595133627987
26825,40.38975,-3.69018,29,3,194,1.22,285,1.0,1,,,1.0,2,0.9333333333333333,5,16,8,100,Arganzuela,81.0,12.0,35.55938236735578
459303,40.42548,-3.7042,98,3,77,0.73,241,1.0,4,1.0,0.0,1.0,4,0.8666666666666667,6,3,1,1,Centro,106.0,15.0,102.71935956089492
459362,40.41592,-3.70177,104,3,91,0.85,272,1.0,2,1.0,0.0,1.0,3,0.9,5,10,1,2,Centro,106.0,15.0,93.25606643713031
29044,40.42689,-3.71552,91,10,2,0.02,23,2.0,3,2.0,1.0,2.0,6,0.8,7,17,2,3,Moncloa - Aravaca,74.0,10.0,118.45894094292028
30320,40.41476,-3.70418,65,5,172,1.09,102,1.0,2,1.0,0.0,2.0,0,1.0,9,26,1,2,Centro,106.0,15.0,90.62547337225163
462072,40.40869,-3.71073,160,3,150,1.12,90,1.0,6,2.0,1.0,4.0,5,0.8333333333333334,5,10,1,4,Centro,106.0,15.0,143.91753798229746
468202,40.42123,-3.70133,50,30,289,2.15,227,1.0,2,1.0,0.0,1.0,1,0.9666666666666667,5,24,1,1,Centro,106.0,15.0,73.57875269756335
469231,40.41941,-3.70823,94,3,61,0.57,293,1.0,2,1.0,0.0,1.0,7,0.7666666666666667,6,6,1,4,Centro,106.0,15.0,96.91658604424688
40718,40.41969,-3.69736,99,2,134,0.86,290,1.0,4,1.0,0.0,2.0,3,0.9,4,24,1,5,Centro,106.0,15.0,113.4728122406774
470132,40.41018,-3.70164,76,4,44,0.33,147,1.0,3,1.0,1.0,2.0,0,1.0,4,30,1,6,Centro,106.0,15.0,103.79624774011204
471198,40.42359,-3.70537,109,3,50,0.48,301,1.0,4,1.0,0.0,1.0,6,0.8,9,25,1,1,Centro,106.0,15.0,113.5519279247009
471328,40.41628,-3.70364,94,3,168,1.29,278,1.0,2,1.0,0.0,1.0,4,0.8666666666666667,6,7,1,2,Centro,106.0,15.0,90.90113555118172
47957,40.42792,-3.67682,138,10,61,0.4,197,2.0,3,2.0,1.0,2.0,4,0.8666666666666667,5,12,3,7,Salamanca,120.0,16.0,148.35777468870694
62423,40.41884,-3.69655,58,1,161,2.6,330,1.0,3,,,2.0,2,0.9333333333333333,5,23,1,5,Centro,106.0,15.0,65.99680539012293
482122,40.43271,-3.70156,98,3,21,0.2,314,1.0,4,1.0,0.0,1.0,0,1.0,4,29,4,8,Chamberí,88.0,13.0,110.73868583438046
70073,40.42252,-3.7025,80,28,30,0.21,279,1.0,2,1.0,0.0,1.0,0,1.0,5,5,1,1,Centro,106.0,15.0,81.09466825456974
70310,40.42252,-3.7025,68,28,28,0.19,318,1.0,2,1.0,0.0,2.0,0,1.0,5,20,1,1,Centro,106.0,15.0,84.65616690089591
491070,40.42885,-3.70479,105,60,19,0.14,335,1.0,2,1.0,0.0,1.0,0,1.0,12,26,1,1,Centro,106.0,15.0,90.54198466074928
493238,40.40655,-3.70629,95,2,206,1.54,234,1.0,4,1.0,0.0,2.0,13,0.5666666666666667,5,29,1,6,Centro,106.0,15.0,118.88440525465276
499911,40.41234,-3.70186,127,4,227,1.79,201,1.0,5,2.0,1.0,4.0,4,0.8666666666666667,6,5,1,6,Centro,106.0,15.0,133.7760621793169
86042,40.40939,-3.69812,169,4,189,1.3,172,1.0,5,3.0,1.0,3.0,25,0.16666666666666666,5,13,1,6,Centro,106.0,15.0,161.09668130880712
502918,40.41155,-3.69492,60,3,140,1.62,262,1.0,1,,,1.0,8,0.7333333333333333,5,29,1,19,Centro,106.0,15.0,43.380634451712574
506956,40.44117,-3.64841,91,1,553,6.19,65,1.0,4,2.0,1.0,3.0,12,0.6,6,3,5,9,Ciudad Lineal,54.0,6.0,107.473400149694
