,id,neighbourhood_cleansed
0,6369,Hispanoamérica
1,21853,Cármenes
2,24805,Universidad
3,26825,Legazpi
4,29044,Argüelles
5,30320,Sol
6,30959,Embajadores
7,40718,Justicia
8,40916,Universidad
9,47957,Goya
10,62423,Justicia
11,70073,Universidad
12,70310,Universidad
13,74352,Embajadores
14,82481,Recoletos
15,84719,Embajadores
16,86042,Embajadores
17,89954,Palacio
18,93100,Universidad
19,100411,Valverde
20,102040,Pueblo Nuevo
21,103541,Almagro
22,114854,Rios Rosas
23,120293,Palacio
24,123864,Embajadores
25,132428,Embajadores
26,136058,Los Angeles
27,163429,Trafalgar
28,167183,Piovera
29,170750,Universidad
30,177523,Universidad
31,196197,Palacio
32,199201,Embajadores
33,200828,Castellana
34,204570,Cortes
35,205199,Universidad
36,209373,Embajadores
37,211444,Canillas
38,217674,Sol
39,219303,Universidad
40,225489,Arapiles
41,229664,Embajadores
42,250858,Opañel
43,256004,Sol
44,258713,Chopera
45,260656,Embajadores
46,260951,Valdefuentes
47,261878,Universidad
48,263748,Valdefuentes
49,268275,Embajadores
50,272279,Embajadores
51,280733,Universidad
52,281224,Palacio
53,287660,Universidad
54,294520,Justicia
55,294529,Justicia
56,297017,Cortes
57,310333,Embajadores
58,336672,Delicias
59,336834,Justicia
60,339144,Universidad
61,339171,Cortes
62,341939,Embajadores
63,342095,Embajadores
64,345249,Almenara
65,347510,Fuente del Berro
66,354838,Universidad
67,361053,Niño Jesús
68,363476,Sol
69,371532,Palacio
70,374558,Justicia
71,375472,Acacias
72,376379,Embajadores
73,396532,Sol
74,397778,Sol
75,398450,Universidad
76,402588,Sol
77,404569,Universidad
78,406341,Lista
79,414763,Palacio
80,415967,Embajadores
81,427407,Embajadores
82,429306,Arapiles
83,429604,Cortes
84,449218,Justicia
85,451174,Almagro
86,456165,Comillas
87,459303,Universidad
88,459362,Sol
89,460898,La Paz
90,462072,Palacio
91,468202,Universidad
92,469231,Palacio
93,470132,Embajadores
94,471198,Universidad
95,471328,Sol
96,479718,Rosas
97,482122,Trafalgar
98,491070,Universidad
99,493238,Embajadores
100,497706,Jerónimos
101,499911,Embajadores
102,502918,Cortes
103,506956,Concepción
104,507614,Universidad
105,510973,Cortes
106,514917,Puerta del Angel
107,515008,Arcos
108,518208,Arcos
109,521329,Hispanoamérica
110,522563,Palacio
111,524003,Embajadores
112,526162,Pacífico
113,526513,Sol
114,531677,Universidad
115,536574,Delicias
116,540937,Embajadores
117,548995,Ibiza
118,552183,Cortes
119,558690,Goya
120,560941,Recoletos
121,565152,Embajadores
122,566241,Embajadores
123,568190,Puerta del Angel
124,570158,Cuatro Caminos
125,572048,Trafalgar
126,576487,Casco Histórico de Barajas
127,578731,Universidad
128,588382,Embajadores
129,588518,Palacio
