,neighbourhood_group,neighbourhood,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Arganzuela,Acacias,0,0,0,2,3,6,7,10,6,5,14,102
1,Arganzuela,Atocha,0,0,0,0,0,0,0,1,1,0,1,12
2,Arganzuela,Chopera,0,0,0,1,2,3,2,7,11,5,13,89
3,Arganzuela,Delicias,0,0,0,1,2,8,10,10,10,2,23,103
4,Arganzuela,Imperial,0,0,0,1,2,2,3,10,2,3,17,94
5,Arganzuela,Legazpi,0,0,0,0,1,0,0,3,1,2,6,29
6,Arganzuela,Palos de Moguer,0,0,0,1,5,5,9,24,14,13,31,243
7,Barajas,Aeropuerto,0,0,0,0,0,0,0,2,0,0,2,3
8,Barajas,Alameda de Osuna,0,0,0,0,0,0,3,2,0,0,5,24
9,Barajas,Casco Histórico de Barajas,0,0,0,0,0,0,0,1,3,0,6,34
10,Barajas,Corralejos,0,0,0,0,0,0,0,1,0,0,0,3
11,Barajas,Timón,0,0,0,0,0,3,1,1,5,0,1,26
12,Carabanchel,Abrantes,0,0,0,0,0,0,1,2,0,0,2,27
13,Carabanchel,Buenavista,0,0,0,0,0,0,0,10,5,3,9,31
14,Carabanchel,Comillas,0,0,0,0,0,3,5,6,4,2,11,94
15,Carabanchel,Opañel,0,0,0,0,1,0,5,5,8,2,17,67
16,Carabanchel,Puerta Bonita,0,0,0,1,1,0,0,6,2,2,16,36
17,Carabanchel,San Isidro,0,0,0,0,1,3,4,4,8,6,15,107
18,Carabanchel,Vista Alegre,0,0,0,0,0,0,4,10,4,1,17,72
19,Centro,Cortes,0,0,0,2,4,9,11,15,24,8,94,674
20,Centro,Embajadores,0,1,2,12,30,45,43,101,85,29,241,1786
21,Centro,Justicia,0,2,0,1,4,26,29,28,34,37,90,702
22,Centro,Palacio,0,0,0,6,10,24,42,62,54,31,141,1172
23,Centro,Sol,0,0,0,1,7,10,18,34,27,21,114,865
24,Centro,Universidad,0,0,2,9,9,33,44,79,75,74,137,1426
25,Chamartín,Castilla,1,0,0,1,0,0,1,2,5,2,10,29
26,Chamartín,Ciudad Jardín,0,0,0,0,2,4,3,4,1,1,9,48
27,Chamartín,El Viso,0,0,0,0,0,2,3,2,1,6,18,36
28,Chamartín,Hispanoamérica,0,0,0,0,0,1,1,7,2,4,11,66
29,Chamartín,Nueva España,0,0,0,0,0,0,0,3,3,0,11,41
30,Chamartín,Prosperidad,0,0,0,1,2,5,4,10,5,3,18,95
31,Chamberí,Almagro,0,0,1,2,0,4,3,8,8,10,31,93
32,Chamberí,Arapiles,0,0,1,3,3,3,3,12,4,7,17,126
33,Chamberí,Gaztambide,0,0,0,1,3,5,3,15,5,4,30,85
34,Chamberí,Rios Rosas,0,0,0,0,1,3,6,7,10,6,23,111
35,Chamberí,Trafalgar,0,0,0,1,4,4,8,16,11,6,46,230
36,Chamberí,Vallehermoso,0,0,0,1,1,4,1,4,0,3,5,32
37,Ciudad Lineal,Colina,0,0,0,0,0,0,1,1,0,0,2,14
38,Ciudad Lineal,Concepción,0,0,0,0,0,2,6,3,4,0,8,40
39,Ciudad Lineal,Costillares,0,0,0,0,0,1,0,2,0,0,4,26
