,index,neighbourhood_group,neighbourhood,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,Arganzuela,Acacias,,,,37.5,30.0,47.5,48.0,45.0,112.5,33.0,53.0,82.5
1,1,Arganzuela,Atocha,,,,,,,,75.0,103.0,,121.0,138.5
2,2,Arganzuela,Chopera,,,,25.0,45.5,32.0,36.0,64.0,35.0,55.0,75.0,72.0
3,3,Arganzuela,Delicias,,,,70.0,48.0,43.0,53.0,72.5,130.0,110.0,70.0,75.0
4,4,Arganzuela,Imperial,,,,55.0,45.0,50.0,78.0,47.5,267.5,85.0,70.0,90.0
5,5,Arganzuela,Legazpi,,,,,31.0,,,50.0,590.0,93.5,67.5,85.0
6,6,Arganzuela,Palos de Moguer,,,,20.0,25.0,65.0,46.0,49.5,43.0,138.0,103.0,97.0
7,7,Barajas,Aeropuerto,,,,,,,,23.5,,,60.0,40.0
8,8,Barajas,Alameda de Osuna,,,,,,,37.0,31.5,,,46.0,45.0
9,9,Barajas,Casco Histórico de Barajas,,,,,,,,75.0,35.0,,40.0,73.5
10,10,Barajas,Corralejos,,,,,,,,85.0,,,,30.0
11,11,Barajas,Timón,,,,,,28.0,22.0,49.0,66.0,,230.0,84.0
12,12,Carabanchel,Abrantes,,,,,,,18.0,60.0,,,110.0,29.0
13,13,Carabanchel,Buenavista,,,,,,,,38.0,52.0,36.0,40.0,40.0
14,14,Carabanchel,Comillas,,,,,,26.0,25.0,129.0,32.5,17.5,90.0,76.5
15,15,Carabanchel,Opañel,,,,,61.0,,55.0,35.0,75.0,15.0,77.0,75.0
16,16,Carabanchel,Puerta Bonita,,,,20.0,15.0,,,65.0,22.5,51.5,33.0,43.5
17,17,Carabanchel,San Isidro,,,,,20.0,30.0,39.0,24.0,90.5,61.5,90.0,66.0
18,18,Carabanchel,Vista Alegre,,,,,,,19.0,43.0,27.5,30.0,30.0,50.5
19,19,Centro,Cortes,,,,32.5,58.0,55.0,76.0,60.0,104.0,238.5,125.0,127.0
20,20,Centro,Embajadores,,101.0,345.0,30.0,38.0,46.0,60.0,50.0,72.0,85.0,85.0,100.0
21,21,Centro,Justicia,,109.5,,68.0,70.5,82.5,70.0,88.0,78.5,62.0,130.5,109.0
22,22,Centro,Palacio,,,,53.5,80.0,74.5,40.0,71.0,82.5,90.0,117.0,113.0
23,23,Centro,Sol,,,,70.0,46.0,62.5,54.5,90.0,95.0,109.0,113.5,126.0
