,id,neighbourhood
0,6369,Hispanoamérica
2,451174,Almagro
3,24805,Universidad
4,456165,Comillas
5,26825,Legazpi
6,459303,Universidad
7,459362,Sol
8,29044,Argüelles
10,30320,Sol
11,462072,Palacio
13,468202,Universidad
14,469231,Palacio
15,40718,Justicia
16,470132,Embajadores
17,471198,Universidad
19,471328,Sol
20,47957,Goya
22,62423,Justicia
23,482122,Trafalgar
24,70073,Universidad
25,70310,Universidad
26,491070,Universidad
28,493238,Embajadores
32,499911,Embajadores
33,86042,Embajadores
34,502918,Cortes
35,506956,Concepción
36,89954,Palacio
37,507614,Universidad
38,93100,Universidad
39,510973,Cortes
42,515008,Arcos
44,518208,Arcos
45,103541,Almagro
47,114854,Rios Rosas
48,120293,Palacio
49,522563,Palacio
50,524003,Embajadores
51,123864,Embajadores
52,132428,Embajadores
54,136058,Los Angeles
55,526513,Sol
57,531677,Universidad
58,167183,Piovera
60,177523,Universidad
61,196197,Palacio
63,540937,Embajadores
64,199201,Embajadores
65,548995,Ibiza
67,552183,Cortes
69,558690,Goya
70,205199,Universidad
71,560941,Recoletos
72,209373,Embajadores
73,565152,Embajadores
75,211444,Canillas
77,217674,Sol
78,570158,Cuatro Caminos
79,219303,Universidad
82,229664,Embajadores
83,576487,Casco Histórico de Barajas
84,578731,Universidad
87,588518,Palacio
88,590710,San Fermín
89,256004,Sol
90,594298,Sol
91,258713,Chopera
92,598771,Palos de Moguer
93,260656,Embajadores
96,261878,Universidad
98,263748,Valdefuentes
99,268275,Embajadores
100,604632,Berruguete
101,605339,Lucero
102,272279,Embajadores
103,280733,Universidad
105,281224,Palacio
106,608742,Palacio
109,294520,Justicia
111,618576,Palacio
112,294529,Justicia
117,310333,Embajadores
118,644656,Pueblo Nuevo
119,655514,Pueblo Nuevo
120,336672,Delicias
121,661255,Embajadores
122,336834,Justicia
124,339144,Universidad
126,339171,Cortes
127,676566,Pacífico
128,341939,Embajadores
129,342095,Embajadores
132,345249,Almenara
134,684564,Palacio
136,685152,Pinar del Rey
137,361053,Niño Jesús
138,688795,Sol
139,363476,Sol
141,371532,Palacio
142,692358,Los Angeles
143,374558,Justicia
144,694867,Los Angeles
147,696928,Lista
148,376379,Embajadores
149,396532,Sol
150,704155,Embajadores
151,397778,Sol
152,708275,El Viso
153,709208,Sol
154,398450,Universidad
155,402588,Sol
156,710156,Alameda de Osuna
157,404569,Universidad
158,406341,Lista
159,716292,Universidad
160,414763,Palacio
162,717313,Palacio
163,427407,Embajadores
164,721377,Valverde
165,429306,Arapiles
166,723088,Justicia
167,429604,Cortes
168,724700,Embajadores
169,449218,Justicia
170,727588,San Diego
171,751530,Sol
172,752424,Embajadores
173,728978,Embajadores
175,730347,Sol
177,730502,Palacio
178,754678,Cortes
179,733365,Arapiles
180,755587,Palacio
181,734053,Ibiza
182,758670,Arcos
183,745664,Acacias
184,760482,Castillejos
185,747873,Universidad
186,761098,Rejas
187,748854,Acacias
188,749957,Argüelles
189,761159,Sol
191,763214,Palacio
192,751527,Universidad
193,766160,Embajadores
195,768311,Palacio
196,1039454,Ibiza
197,772646,Sol
198,777913,Argüelles
201,1050948,Recoletos
202,780743,Universidad
203,1053180,Embajadores
204,783647,Costillares
205,793618,Palacio
208,1055724,Arapiles
209,797030,Simancas
211,1057560,Palacio
213,814586,Justicia
217,814870,Jerónimos
218,1065918,Universidad
219,815818,Universidad
220,1067941,Almenara
221,817184,Cortes
222,1069174,Cortes
223,817848,Justicia
224,1079119,Almagro
225,821860,Embajadores
226,1079722,Recoletos
227,833871,Universidad
228,834562,Timón
229,1082942,Embajadores
230,1085898,Palacio
231,834675,Numancia
232,1086060,Palacio
233,835333,Sol
234,1086124,Embajadores
235,838698,Pacífico
237,1087049,Embajadores
240,1092967,Embajadores
241,842078,Sol
242,844856,Palacio
243,1112289,Numancia
244,846558,Sol
246,847273,Marroquina
247,848480,Sol
248,1121429,Palacio
251,862462,Palacio
252,1130775,Trafalgar
253,1130788,Trafalgar
255,864488,Embajadores
257,867629,Palacio
259,1146228,Embajadores
260,871387,Universidad
262,874029,Salvador
263,1162707,Gaztambide
264,874273,Sol
265,874641,Embajadores
266,1168731,San Andrés
270,888289,Universidad
271,891924,Universidad
274,1184735,Sol
276,893195,Recoletos
277,1209383,Palos de Moguer
278,1209661,Delicias
279,896209,Castilla
280,1220946,Sol
282,1227155,Sol
283,904741,Sol
284,904769,Sol
285,1230570,Justicia
286,904775,Palacio
287,907386,Cortes
288,1248292,Sol
294,914057,Palomeras Sureste
295,923140,Universidad
297,1256157,Palacio
299,1256570,Embajadores
300,925250,Sol
301,1263062,Delicias
302,1263329,Delicias
303,925339,Universidad
304,1266548,Palacio
305,926653,Cortes
306,1267730,Sol
307,1272747,Palacio
308,933326,Palos de Moguer
309,1272897,Argüelles
311,938410,Recoletos
313,1274889,Almagro
316,1275293,San Juan Bautista
319,961181,Embajadores
320,1289823,Casco Histórico de Vicálvaro
321,970890,Universidad
324,981016,Universidad
325,1297217,Cortes
326,1298830,Atocha
327,982997,Cortes
328,1302691,Universidad
329,983019,Numancia
330,983410,Cuatro Caminos
332,1309325,Valdefuentes
333,1003602,Embajadores
334,1007532,Universidad
335,1311739,Cuatro Caminos
338,1443639,Palos de Moguer
339,1320674,Palacio
341,1458472,Embajadores
342,1330726,Embajadores
343,1463482,Valverde
344,1331106,Cortes
345,1473278,Goya
346,1334684,Arapiles
348,1335588,Justicia
350,1336818,Nueva España
352,1338318,Cortes
354,1343630,Almagro
355,1346747,Embajadores
356,1500875,Palacio
357,1357593,Universidad
359,1362092,Justicia
360,1522608,Justicia
361,1362476,Universidad
362,1523675,Universidad
363,1529540,Casco Histórico de Vallecas
364,1380233,Universidad
365,1532354,Embajadores
366,1395084,El Viso
367,1547100,Cármenes
369,1569343,Lista
370,1408400,Palacio
371,1575287,Pacífico
372,1426027,Palacio
373,1579108,Universidad
374,1426530,Opañel
375,1586115,Puerta del Angel
376,1427336,Universidad
377,1593044,Gaztambide
378,1430003,Palacio
380,1596257,Cortes
381,1431541,Rios Rosas
382,1434789,Palacio
383,1990801,Cortes
384,1600919,Embajadores
385,1994074,Universidad
387,2001012,Universidad
388,1608296,Justicia
389,1609815,Ibiza
393,2052361,Embajadores
394,1621371,Palacio
396,1622564,Palacio
397,1623202,Acacias
398,2054398,Berruguete
399,1626586,Cortes
400,1628485,Cortes
401,2062465,Sol
403,2064355,Sol
404,1636170,Cortes
405,1642412,Ventas
407,1644183,Prosperidad
408,2068722,Sol
409,2068792,Sol
410,2068796,Sol
411,2069026,Sol
412,1644403,Embajadores
413,2070887,Universidad
414,1659406,Justicia
416,1659585,Universidad
417,2084773,Sol
419,1665067,Moscardó
420,2087574,Embajadores
421,1680271,Sol
426,1691073,Sol
427,2101315,Sol
428,2114493,Sol
429,1695083,Universidad
430,2117068,Trafalgar
431,1698916,Cortes
433,2117115,Justicia
434,1710892,Embajadores
435,2129245,San Isidro
436,1716687,Cortes
438,1737408,Fontarrón
441,1737767,Cortes
443,2143961,Sol
444,1740906,Justicia
445,2144000,Sol
447,1742289,Palacio
448,2179527,Palacio
449,1750838,Embajadores
451,1755242,Sol
453,2188662,Sol
454,2192321,Comillas
455,1758199,Universidad
456,1762237,Universidad
457,2207832,Gaztambide
458,2207960,Palos de Moguer
459,1763683,Universidad
460,2224238,Castilla
462,2247751,Palacio
463,1766697,Universidad
464,1774049,Palos de Moguer
465,2254525,Embajadores
467,2289744,Embajadores
469,1779465,Palacio
470,2299045,Universidad
471,1785371,Cortes
472,1788097,Universidad
473,2302853,Sol
474,1788102,Palacio
476,2310368,Prosperidad
477,1811287,Universidad
478,2313370,Sol
479,2319136,Niño Jesús
484,2338390,Embajadores
485,1854759,Cármenes
486,2342966,Pueblo Nuevo
487,1858255,Universidad
489,1859046,Universidad
490,2346257,Sol
491,1863038,Palacio
492,2355344,Cortes
493,1864170,Justicia
494,2358924,Trafalgar
496,2362731,Arcos
497,1883013,Justicia
498,2364463,Embajadores
499,1901306,Embajadores
500,2377816,Universidad
501,1910871,Palacio
502,2387880,Sol
503,1917537,Justicia
504,2388144,Palacio
505,1921558,Imperial
507,2399601,Almagro
509,2408887,Trafalgar
510,1927108,Trafalgar
511,2416770,Cortes
512,2452815,Sol
513,1928731,Embajadores
514,2471370,Universidad
515,1942059,Embajadores
516,2472459,Justicia
518,2482267,Argüelles
519,1958786,Justicia
521,1973442,Embajadores
522,2673648,Rios Rosas
524,2676912,Sol
525,2500666,Universidad
526,2686592,Universidad
528,2698131,Justicia
529,2706194,Embajadores
530,2707743,Universidad
531,2520674,Fuente del Berro
532,2520679,Fuente del Berro
533,2711470,Universidad
534,2530433,Embajadores
535,2731786,Palacio
536,2549655,Universidad
538,2551440,Palacio
540,2558321,Embajadores
543,2588548,Ibiza
544,2820486,Palos de Moguer
546,2846776,Palacio
547,2604787,Embajadores
548,2622839,Justicia
549,2847041,Cortes
550,2630840,Palacio
551,2632012,Universidad
552,2862015,Universidad
553,2650925,Sol
554,2895896,Embajadores
555,2652829,Sol
556,2900380,Universidad
560,2907259,Universidad
561,2916917,Trafalgar
564,2917180,Palos de Moguer
565,2917257,Atocha
566,3389625,Embajadores
567,2926676,Valdezarza
568,3392806,Trafalgar
569,2943509,Universidad
570,3397465,Universidad
571,2943575,Universidad
573,3419248,Palacio
574,2963086,Sol
575,2964048,Sol
576,3423709,Universidad
577,2965741,Pacífico
578,3425435,Embajadores
580,3428310,Embajadores
582,3428746,Universidad
583,3004372,Universidad
584,3430791,Universidad
587,3439591,Cortes
590,3446903,Vista Alegre
591,3028371,Embajadores
593,3042518,Sol
594,3457207,Cortes
595,3045724,Universidad
596,3477490,Goya
597,3046856,Universidad
598,3479383,Embajadores
599,3046879,Universidad
600,3047780,Universidad
602,3485567,Argüelles
603,3058834,Universidad
604,3068254,Universidad
605,3498203,Palacio
606,3082182,Palacio
607,3501674,Pueblo Nuevo
609,3514869,Embajadores
610,3097328,Embajadores
612,3515468,Justicia
614,3516746,Justicia
616,3517921,Universidad
618,3143400,Justicia
622,3143872,Argüelles
623,3146468,Justicia
625,3150635,Universidad
626,3552414,Castilla
627,3166047,Embajadores
628,3173331,Cortes
629,3567597,Cortes
630,3175720,Justicia
631,3184859,Palacio
632,3584830,Sol
633,3187973,Universidad
634,3588117,Embajadores
635,3189209,Palacio
636,3589141,Niño Jesús
638,3590226,Palacio
642,3593682,El Viso
646,3223429,Palacio
648,3599402,Imperial
649,3254399,Embajadores
650,3604139,Universidad
652,3255468,Cortes
653,3610905,Universidad
654,3264794,Guindalera
656,3277613,Universidad
657,3624775,Ventas
658,3285554,Embajadores
659,3285747,Universidad
660,3297333,Argüelles
662,3653355,Embajadores
663,3300064,Embajadores
664,3306584,Sol
665,3654455,Guindalera
668,3680191,Comillas
669,3318664,Sol
670,3680650,Jerónimos
671,3322399,Embajadores
672,3681753,Sol
673,3681786,Sol
675,3686364,Puerta Bonita
676,3338631,Chopera
677,3341990,Universidad
678,3691867,Sol
679,3351904,Argüelles
682,3717049,Palacio
683,3722238,Castilla
684,3360988,Delicias
685,3727205,Universidad
686,3727225,Embajadores
690,3733819,Ibiza
694,3742728,Embajadores
697,3901968,Ibiza
698,3908928,Cortes
700,3909843,Pinar del Rey
701,3759217,Castilla
704,3944509,Salvador
705,3763652,Universidad
707,3973113,Palacio
708,3975171,Embajadores
709,3985609,Sol
711,3776849,Embajadores
713,3778195,Sol
716,4036586,Palacio
718,4038339,Bellas Vistas
719,3816076,Simancas
721,3819043,Palacio
722,4067702,Embajadores
723,3819941,Embajadores
726,4075286,Embajadores
728,4082994,Chopera
729,3826572,Trafalgar
730,3833696,Fontarrón
731,4083002,Chopera
732,3849729,Cortes
733,4083330,Butarque
734,3850756,Sol
735,4109879,Sol
736,3853827,Cortes
737,4110229,Embajadores
739,4118892,Sol
740,3857504,Universidad
741,4131994,Costillares
742,3858506,Palacio
743,4132363,Rios Rosas
744,3885520,Sol
745,4138973,Lucero
746,4153513,Embajadores
747,3895070,Embajadores
748,4154794,Goya
751,4604854,Vista Alegre
754,4160649,Universidad
755,4634016,Embajadores
757,4634057,Justicia
758,4162483,Canillejas
759,4634466,Justicia
760,4634674,Justicia
761,4176704,Embajadores
762,4636487,Simancas
764,4176994,Embajadores
768,4189593,Cortes
769,4655244,Cortes
772,4201199,Almagro
773,4202733,Guindalera
775,4216775,Palacio
776,4659571,Embajadores
779,4230554,Embajadores
780,4675111,Embajadores
781,4675684,Universidad
783,4677274,Universidad
784,4677276,Universidad
785,4237155,Lista
786,4677743,Universidad
789,4682678,Valdefuentes
790,4263173,Argüelles
791,4266974,Castellana
795,4687759,Sol
796,4693155,Cuatro Caminos
797,4295344,Cortes
799,4309709,Embajadores
800,4316495,Palacio
801,4327320,Universidad
802,4708827,Chopera
804,4337324,Trafalgar
806,4340187,Imperial
807,4718091,Arapiles
809,4718699,Universidad
811,4344855,Embajadores
814,4367064,Quintana
817,4376685,San Juan Bautista
819,4383859,Embajadores
823,4767419,Ciudad Jardín
825,4772019,Sol
826,4403346,Universidad
828,4780178,Aluche
830,4789460,Embajadores
832,4421901,Cortes
833,4798571,Recoletos
835,4799714,San Juan Bautista
837,4474971,Justicia
839,4483457,Cuatro Caminos
840,4818802,Almenara
841,4491361,Palacio
843,4496392,Palacio
844,4819958,Palos de Moguer
846,4854921,Palacio
847,4523822,Castellana
849,4544440,Aravaca
851,4575181,Embajadores
852,4577504,Universidad
853,4890957,Prosperidad
854,4592672,Embajadores
855,4891262,Cortes
856,4595967,Embajadores
857,4905237,Pacífico
858,4596183,Embajadores
860,4596225,Embajadores
861,4912783,Embajadores
862,4596254,Embajadores
863,4596316,Embajadores
864,4936409,Niño Jesús
865,4945181,Niño Jesús
867,4947004,Sol
870,5264948,Embajadores
873,5264999,Embajadores
874,4967324,Embajadores
877,4973451,Embajadores
878,5278933,Fontarrón
879,4994724,Cuatro Caminos
880,5285533,Palacio
883,5012393,Embajadores
884,5060359,Embajadores
885,5310107,Cortes
886,5062060,Embajadores
887,5312932,Embajadores
888,5063329,Delicias
889,5313039,Embajadores
890,5313142,Embajadores
891,5063931,Sol
892,5313221,Embajadores
893,5313252,Embajadores
894,5327846,Guindalera
895,5072820,Chopera
896,5330790,Universidad
897,5097623,Palos de Moguer
898,5105110,Bellas Vistas
899,5334527,Embajadores
901,5109767,Embajadores
903,5111331,Sol
904,5344630,Justicia
905,5129219,Sol
907,5361601,Sol
908,5155124,Palacio
909,5155333,Ibiza
910,5371540,Palacio
912,5170938,Cortes
915,5181841,Castillejos
916,5373240,Berruguete
925,5206353,Embajadores
927,5429605,Embajadores
928,5431622,Nueva España
929,5215853,Justicia
930,5437526,San Pascual
932,5847367,Nueva España
933,5448860,San Diego
935,5872562,Legazpi
936,5458016,Palacio
937,5876946,Palacio
938,5466021,Argüelles
939,5479540,Embajadores
941,5917909,Guindalera
945,5486086,Embajadores
946,5509143,Universidad
947,5938004,Puerta del Angel
948,5511428,Embajadores
950,5948968,Universidad
953,5544738,Universidad
955,5552409,Universidad
956,5962564,Universidad
959,5563493,Valdezarza
961,5564929,Embajadores
962,5567395,Recoletos
963,5987757,San Isidro
964,5578172,Berruguete
966,5583981,Hispanoamérica
967,6008086,Sol
968,6021986,Sol
970,5602310,Arapiles
971,6037342,Cortes
972,5611639,Embajadores
973,6037661,Cortes
977,6042990,Cortes
980,5638366,Goya
981,6070267,Cortes
983,6083007,Cortes
985,5654704,Cortes
986,6094591,Embajadores
987,5656076,Embajadores
989,6097996,San Diego
992,5672272,Embajadores
995,6123814,Recoletos
996,5691640,Hispanoamérica
998,5693145,Arapiles
1002,5699593,Palacio
1004,5707431,Gaztambide
1006,5715713,Sol
1007,6161577,Sol
1008,6168837,Universidad
1009,5722480,Justicia
1011,5722694,Embajadores
1012,6182538,Canillas
1013,5735879,San Diego
1014,6183158,Embajadores
1017,5748546,Almenara
1018,6193291,Cortes
1019,5749070,Goya
1020,5756228,Universidad
1023,5787650,Puerta del Angel
1024,6199834,Jerónimos
1028,5811071,Universidad
1029,5817222,Palacio
1030,6216745,Trafalgar
1033,5821340,Imperial
1034,6226275,Sol
1036,6247825,La Paz
1039,5836616,Justicia
1040,6257288,Adelfas
1041,5846936,Colina
1042,6263965,Goya
1043,6279864,Casa de Campo
1045,6283743,Universidad
1046,6287069,Universidad
1048,6287397,Universidad
1049,6470318,Justicia
1051,6299647,Sol
1052,6477859,Palacio
1054,6478676,Palacio
1055,6307542,Palacio
1057,6312107,Palacio
1061,6507502,Palacio
1063,6332990,Embajadores
1065,6333703,Quintana
1066,6518604,Cortes
1067,6336277,Sol
1069,6343738,Justicia
1072,6532332,Embajadores
1076,6541133,Peñagrande
1078,6542642,Justicia
1080,6387909,Sol
1082,6393155,Delicias
1085,6397813,Universidad
1088,6554344,Numancia
1090,6563064,Embajadores
1091,6420159,Palacio
1092,6563427,Opañel
1093,6423447,Concepción
1094,6432904,Trafalgar
1095,6564043,San Isidro
1096,6435818,Palacio
1098,6436381,Numancia
1102,6442730,Universidad
1103,6572976,Vista Alegre
1111,6906836,Arapiles
1113,6607202,Universidad
1114,6908609,Palacio
1115,6615853,Cortes
1118,6910714,Universidad
1121,6633231,Lucero
1122,6921005,Pueblo Nuevo
1124,6637689,Universidad
1125,6922729,Legazpi
1128,6661646,Universidad
1130,6663211,Goya
1137,6947217,Justicia
1139,6688832,Universidad
1140,6950087,Palos de Moguer
1141,6696008,Palacio
1142,6950481,Cortes
1145,6707949,Embajadores
1146,6957018,Almagro
1148,6961269,Embajadores
1149,6715953,Palacio
1153,6720443,Puerta del Angel
1154,6985914,Goya
1155,6991988,Embajadores
1157,6995760,Goya
1160,6999084,Universidad
1164,6743322,Cortes
1166,7010582,Trafalgar
1167,6769374,Sol
1168,7012659,Castillejos
1170,7013090,Castillejos
1174,7013484,Sol
1175,6808363,Universidad
1176,7014889,Cortes
1177,6815205,Aravaca
1179,6826999,Justicia
1181,6827442,San Isidro
1188,7023168,Universidad
1190,7028912,Imperial
1199,6858202,Castilla
1200,6861360,Acacias
1202,6864659,Apostol Santiago
1206,6872550,Casa de Campo
1207,7061159,Lucero
1208,7069975,Jerónimos
1211,7072197,Palacio
1212,6881737,Justicia
1213,6883742,Ibiza
1219,7108516,Aravaca
1222,7233990,Lista
1223,7110133,Sol
1226,7252091,Cuatro Caminos
1227,7111834,El Viso
1230,7119614,Almagro
1233,7121326,Justicia
1237,7128316,Justicia
1238,7300168,Sol
1241,7314378,Goya
1242,7143136,Sol
1244,7143210,Embajadores
1246,7144996,Universidad
1248,7148125,Sol
1251,7334350,Palacio
1253,7167750,Palacio
1257,7168023,Sol
1259,7343758,Acacias
1264,7359580,Palacio
1265,7179473,Imperial
1269,7393416,Universidad
1281,7432987,Acacias
1282,7201076,Sol
1283,7204039,Universidad
1284,7434672,Sol
1285,7214366,Sol
1287,7453640,Palacio
1288,7214749,Puerta del Angel
1290,7465105,Cortes
1291,7225706,Embajadores
1292,7479982,Universidad
1296,7487035,Valdefuentes
1297,7770648,Sol
1298,7496237,Puerta del Angel
1299,7783777,Arcos
1301,7497713,Universidad
1303,7795852,Cortes
1307,7812224,Palacio
1309,7812823,Palacio
1312,7813405,Justicia
1313,7540141,Sol
1314,7540534,Sol
1315,7818234,Embajadores
1316,7547992,Canillas
1318,7559309,Sol
1319,7822974,San Diego
1320,7841877,Guindalera
1321,7562216,Recoletos
1322,7571127,Sol
1323,7845373,Palacio
1325,7847068,Cortes
1327,7851316,Sol
1328,7582198,Simancas
1330,7590341,Almagro
1333,7864511,Embajadores
1334,7606746,Ibiza
1335,7897158,Cortes
1340,7907083,Embajadores
1341,7641247,Embajadores
1342,7918411,Acacias
1343,7641420,Embajadores
1346,7659665,Sol
1348,7673910,San Diego
1350,7677127,Embajadores
1351,7961823,Palacio
1352,7685623,Sol
1355,7689476,Universidad
1356,7691488,Puerta del Angel
1357,7977144,Hispanoamérica
1361,7994589,Palacio
1363,7701586,Embajadores
1365,7701883,Embajadores
1367,7705745,Bellas Vistas
1368,8024476,Universidad
1371,8026146,Castillejos
1373,8031140,Castellana
1375,7730071,Ventas
1377,7730180,Embajadores
1378,8055704,Cortes
1379,7732757,Ibiza
1381,8056210,Embajadores
1382,7740638,Palacio
1386,8062212,Quintana
1391,8390275,Sol
1393,8394827,Cortes
1394,8077894,Embajadores
1395,8394957,Embajadores
1397,8395896,Rejas
1400,8398117,Embajadores
1401,8123562,Canillas
1402,8398675,La Paz
1403,8399290,Justicia
1404,8127341,Argüelles
1405,8128423,Quintana
1406,8399457,Justicia
1408,8137242,Embajadores
1409,8147896,Castilla
1410,8418514,Universidad
1411,8158709,Palacio
1413,8422607,Embajadores
1414,8171420,Ibiza
1416,8432612,Embajadores
1417,8179336,Cortes
1418,8438464,Embajadores
1421,8454596,Sol
1423,8455978,Delicias
1424,8221248,Sol
1425,8225512,Puerta del Angel
1426,8469941,Goya
1427,8231834,Vista Alegre
1428,8231932,Vista Alegre
1429,8470935,Embajadores
1431,8511887,Almagro
1432,8517585,Palomas
1433,8267919,Universidad
1439,8284728,Sol
1440,8530533,Fuente del Berro
1442,8310672,Sol
1445,8550478,Palacio
1447,8331406,Justicia
1448,8569433,Universidad
1451,8350653,Puerta del Angel
1452,8351488,Ibiza
1453,8574490,Ibiza
1457,8579373,Cortes
1461,8607519,Cortes
1462,8356045,Rios Rosas
1463,8627059,Sol
1465,8627585,Valdezarza
1466,8356055,Arapiles
1468,8634850,Palacio
1469,8652516,Universidad
1470,8657858,Universidad
1471,8368543,Ciudad Universitaria
1472,8663494,Recoletos
1474,8668278,Embajadores
1475,8695926,Cortes
1476,8385825,Lista
1478,8389063,Casco Histórico de Vallecas
1479,8713274,Peñagrande
1481,8719352,Embajadores
1484,8728948,Embajadores
1486,8731253,Ibiza
1488,8740647,Castillejos
1489,9017254,Palos de Moguer
1491,8752740,Acacias
1492,9022672,Argüelles
1493,8755195,Embajadores
1494,8755504,Embajadores
1495,9045230,Embajadores
1496,8757577,Cortes
1499,8768739,Embajadores
1500,8769145,Universidad
1501,8776371,Vista Alegre
1505,8838482,Jerónimos
1506,9087646,Universidad
1507,9090159,Embajadores
1510,9127169,Justicia
1511,8842365,Embajadores
1512,9127476,Cortes
1514,9128910,Atocha
1515,8844082,Embajadores
1516,8853298,Embajadores
1517,9134020,Embajadores
1519,9141653,Palacio
1520,8873865,Sol
1527,9170957,Comillas
1528,8881869,Cortes
1530,8883924,Universidad
1532,9182042,Sol
1534,8893602,Universidad
1535,9206552,Universidad
1536,8894850,Embajadores
1538,8895075,Justicia
1539,9209376,Embajadores
1540,8895796,Almenara
1541,9215075,Moscardó
1542,9224648,Universidad
1544,8904822,Almagro
1545,9236168,Goya
1547,8914957,Palomeras Bajas
1552,9285669,Los Rosales
1553,8931977,Peñagrande
1555,9290081,Embajadores
1557,9291794,Justicia
1558,8938086,Palos de Moguer
1559,9294088,Cortes
1563,9310534,Cortes
1564,8965165,Puerta del Angel
1566,9322148,Cortes
1567,8975384,Recoletos
1568,9623767,Simancas
1569,9323325,Jerónimos
1570,9324140,Cortes
1571,9639977,Cortes
1572,9642700,Palacio
1573,9325230,Palomeras Bajas
1574,9646543,Puerta del Angel
1576,9649549,Justicia
1577,9363775,Prosperidad
1579,9365719,Universidad
1584,9659461,Universidad
1586,9666029,Sol
1588,9385154,Sol
1589,9708445,Embajadores
1590,9404543,Argüelles
1591,9408050,Rejas
1593,9721363,Embajadores
1595,9721913,Cortes
1596,9421378,Ibiza
1598,9428334,Universidad
1601,9440377,Embajadores
1602,9446656,Embajadores
1604,9454217,Castillejos
1605,9746164,Cortes
1608,9460773,Embajadores
1610,9461781,Palacio
1611,9471684,Embajadores
1612,9752728,Sol
1613,9471912,Atocha
1616,9764128,Sol
1617,9473474,Embajadores
1618,9477197,Palacio
1619,9767399,Sol
1620,9767406,Sol
1622,9489398,Numancia
1623,9770085,Universidad
1625,9493091,El Viso
1627,9506096,Universidad
1629,9798653,Palos de Moguer
1630,9799609,Almendrales
1631,9535469,Embajadores
1634,9537747,Universidad
1636,9549784,Vista Alegre
1638,9575680,Cortes
1639,9808033,Cuatro Caminos
1640,9581698,Simancas
1641,9811609,Embajadores
1642,9600924,Campamento
1644,9604122,Guindalera
1645,9830513,Recoletos
1648,9608049,Embajadores
1651,9851949,Sol
1654,10173465,Justicia
1655,9861979,Trafalgar
1656,10175363,Universidad
1657,9862245,Justicia
1658,10182539,Embajadores
1660,10188918,Palacio
1661,9877244,Ibiza
1662,10192147,Palos de Moguer
1664,10201661,Embajadores
1667,9880406,Cortes
1668,10221165,Rios Rosas
1669,9883101,Universidad
1672,10248475,Universidad
1676,10264484,Palacio
1680,10286663,Piovera
1681,10292503,Palacio
1684,10307340,Argüelles
1685,9940226,Sol
1686,10311386,Fontarrón
1687,9940790,Palacio
1688,10326736,Colina
1690,9948875,Castellana
1691,10353002,Universidad
1693,10362376,Almendrales
1694,9959387,Cortes
1695,10374268,Numancia
1696,10396624,Universidad
1698,9964714,Palacio
1700,9965402,Cortes
1701,10409426,Trafalgar
1705,10445067,Acacias
1706,9974530,Embajadores
1708,9977208,Aluche
1709,9982157,Embajadores
1710,10465938,Simancas
1712,10484025,Recoletos
1713,9982683,Universidad
1715,10005860,Puerta del Angel
1716,10490005,Ciudad Universitaria
1718,10017799,Delicias
